ds,yhat
2021-02-23,2716.888114388771
2021-02-24,2747.998429427465
2021-02-25,2751.76324017767
2021-02-26,2785.054449879341
2021-02-27,2790.88451898721
2021-02-28,2824.239301081266
2021-03-01,2847.7776929559163
2021-03-02,2862.8948788585576
2021-03-03,2893.0824478182326
2021-03-04,2896.499243172924
2021-03-05,2930.0004261066238
2021-03-06,2936.5686738496806
2021-03-07,2971.1481100718315
2021-03-08,2996.345313811011
2021-03-09,3013.494147097686
2021-03-10,3046.0176355049634
2021-03-11,3052.0007123495434
2021-03-12,3088.221257588024
2021-03-13,3097.5833002548775
2021-03-14,3134.9529304662346
2021-03-15,3162.861217445214
2021-03-16,3182.570826711416
2021-03-17,3217.439527677332
2021-03-18,3225.494364460952
2021-03-19,3263.4638889956154
2021-03-20,3274.2123000045103
2021-03-21,3312.5760157981395
2021-03-22,3341.0669668443243
2021-03-23,3360.9392984430497
2021-03-24,3395.552679574374
2021-03-25,3402.946002922339
2021-03-26,3439.868894279164
2021-03-27,3449.214900314054
2021-03-28,3485.856913608892
2021-03-29,3512.349156463002
2021-03-30,3529.992452949769
2021-03-31,3562.1960269406254
2021-04-01,3567.049654107315
2021-04-02,3601.3536293058955
2021-04-03,3608.050460575307
2021-04-04,3642.058888840935
2021-04-05,3665.9745919211227
2021-04-06,3681.1343353813454
2021-04-07,3710.976836172663
2021-04-08,3713.6141897534226
2021-04-09,3745.8613387492596
2021-04-10,3750.6675046326877
2021-04-11,3782.950185186939
2021-04-12,3805.296073443681
2021-04-13,3819.0256513250124
2021-04-14,3847.554708536596
2021-04-15,3848.9666164489445
2021-04-16,3880.0428091105487
2021-04-17,3883.6953627778653
2021-04-18,3914.8022432966636
2021-04-19,3935.9095411935323
2021-04-20,3948.297410458733
2021-04-21,3975.3429239082225
2021-04-22,3975.093637795462
2021-04-23,4004.2992823188774
2021-04-24,4005.8454364058825
2021-04-25,4034.589726438051
2021-04-26,4053.064843189878
2021-04-27,4062.545072089989
2021-04-28,4086.4095340328477
2021-04-29,4082.7159193198895
2021-04-30,4108.232127066695
2021-05-01,4105.869669976124
2021-05-02,4130.519391399007
2021-05-03,4144.753801702539
2021-05-04,4149.892746912328
2021-05-05,4169.365629307299
2021-05-06,4161.283988976994
2021-05-07,4182.471888361114
2021-05-08,4175.897991823666
2021-05-09,4196.509920953779
2021-05-10,4206.935227130676
2021-05-11,4208.545728691218
2021-05-12,4224.818465746968
2021-05-13,4213.907113181435
2021-05-14,4232.671322749035
2021-05-15,4224.107911912464
2021-05-16,4243.184501765207
2021-05-17,4252.539962802252
2021-05-18,4253.548428292937
2021-05-19,4269.68013564287
2021-05-20,4259.07293841721
2021-05-21,4278.561956890322
2021-05-22,4271.111276628968
2021-05-23,4291.6482845171895
2021-05-24,4302.764983597645
2021-05-25,4305.783025123461
2021-05-26,4324.115693437752
2021-05-27,4315.840658813853
2021-05-28,4337.730936504822
2021-05-29,4332.687930559288
2021-05-30,4355.577120279501
2021-05-31,4368.930699346591
